repository,created_at,updated_at,size,num_stars,num_forks
aws-samples/aws-machine-learning-university-accelerated-nlp,2020-08-07T00:40:22Z,2022-06-10T02:46:32Z,80663,1852,475
mapbox/robosat,2018-06-07T12:42:33Z,2022-06-12T10:53:40Z,1381,1841,367
szilard/benchm-ml,2015-03-28T00:34:18Z,2022-06-06T08:48:15Z,1133,1837,336
JasonKessler/scattertext,2016-07-21T01:47:12Z,2022-06-09T17:18:26Z,39531,1828,253
MrNothing/AI-Blocks,2017-10-16T10:51:25Z,2022-06-04T20:39:06Z,34839,1824,237
wzhe06/SparrowRecSys,2020-05-05T05:03:23Z,2022-06-12T07:39:53Z,66589,1819,668
root-project/root,2013-06-27T10:46:59Z,2022-06-12T17:26:14Z,960185,1818,1042
MLNLP-World/Top-AI-Conferences-Paper-with-Code,2020-06-27T07:58:07Z,2022-06-12T02:00:50Z,4132,1817,523
lgsvl/simulator,2018-07-02T22:07:26Z,2022-06-12T04:21:10Z,42960,1814,623
DerwenAI/pytextrank,2016-10-02T18:39:12Z,2022-06-10T14:51:25Z,1555,1814,331
werner-duvaud/muzero-general,2019-12-27T02:33:51Z,2022-06-12T13:08:01Z,7436,1807,475
OryxProject/oryx,2014-07-25T20:08:44Z,2022-06-12T14:52:00Z,7464,1800,413
MAIF/shapash,2020-04-29T07:34:23Z,2022-06-12T02:59:58Z,47686,1791,237
bangoc123/learn-machine-learning-in-two-months,2018-08-03T03:36:05Z,2022-06-06T03:46:14Z,71503,1790,592
minimaxir/automl-gs,2019-01-13T18:57:44Z,2022-06-07T17:30:03Z,572,1787,171
dotnet/spark,2019-04-22T18:55:55Z,2022-06-10T18:07:15Z,3103,1783,276
jindongwang/MachineLearning,2015-08-16T13:01:08Z,2022-06-12T14:46:59Z,286,1782,618
tensorflow/tfx,2019-02-04T17:14:36Z,2022-06-12T04:29:30Z,233453,1771,584
Accenture/AmpliGraph,2019-01-09T14:52:05Z,2022-06-12T14:36:37Z,25578,1769,208
arbox/machine-learning-with-ruby,2017-04-20T09:44:48Z,2022-06-11T10:07:58Z,451,1765,156
src-d/hercules,2016-12-12T17:30:29Z,2022-06-10T12:27:10Z,10244,1757,142
BlazingDB/blazingsql,2018-09-24T18:25:45Z,2022-06-12T16:59:43Z,43357,1754,171
rust-ml/linfa,2018-04-05T07:03:30Z,2022-06-11T15:33:59Z,5920,1749,127
lucidrains/reformer-pytorch,2020-01-09T20:42:37Z,2022-06-12T01:31:47Z,36241,1748,239
ahmedbahaaeldin/From-0-to-Research-Scientist-resources-guide,2021-03-16T07:52:23Z,2022-06-10T23:57:20Z,204,1746,287
the-akira/Computer-Science-Resources,2019-02-05T01:17:26Z,2022-06-11T23:52:18Z,2385,1744,242
Trusted-AI/AIF360,2018-08-22T20:47:15Z,2022-06-10T11:14:45Z,6049,1738,571
xmartlabs/Bender,2017-05-03T20:52:12Z,2022-06-06T05:45:43Z,72735,1734,91
facebookresearch/TensorComprehensions,2018-02-06T17:11:07Z,2022-06-12T17:29:14Z,38419,1730,215
kermitt2/grobid,2012-09-13T15:48:54Z,2022-06-12T14:44:24Z,1253323,1725,332
modAL-python/modAL,2017-11-14T14:01:15Z,2022-06-09T23:59:55Z,9548,1725,242
determined-ai/determined,2020-04-07T16:12:29Z,2022-06-11T02:00:38Z,70228,1722,227
tomlepaine/fast-wavenet,2016-09-16T21:57:30Z,2022-06-10T15:45:06Z,313,1715,317
r9y9/deepvoice3_pytorch,2017-10-31T12:31:44Z,2022-06-09T17:14:36Z,7106,1715,436
obss/sahi,2021-01-30T12:54:53Z,2022-06-10T18:43:39Z,52076,1714,258
Awesome-Interview/Awesome-Interview,2019-03-27T13:18:08Z,2022-06-12T07:20:00Z,265,1713,321
lucasb-eyer/pydensecrf,2015-11-13T18:15:38Z,2022-06-12T14:34:06Z,2730,1710,399
yuchenlin/rebiber,2021-01-24T09:41:52Z,2022-06-11T07:13:23Z,59985,1708,97
ssusnic/Machine-Learning-Flappy-Bird,2017-08-10T15:14:19Z,2022-06-08T10:38:49Z,485,1705,397
mJackie/RecSys,2019-03-08T14:16:10Z,2022-06-09T08:28:42Z,44172,1691,408
mosaicml/composer,2021-10-12T02:38:28Z,2022-06-12T21:32:07Z,5677,1684,99
tirthajyoti/Papers-Literature-ML-DL-RL-AI,2018-01-16T06:25:18Z,2022-06-12T21:59:21Z,518862,1683,590
pytorch/audio,2017-05-05T00:38:05Z,2022-06-12T17:41:06Z,786223,1681,425
MaxBenChrist/awesome_time_series_in_python,2017-08-16T12:27:27Z,2022-06-09T11:12:36Z,144,1678,339
achillesrasquinha/bulbea,2017-03-09T06:11:06Z,2022-06-11T01:19:05Z,2768,1671,446
Machine-Learning-Tokyo/Interactive_Tools,2019-04-29T23:24:38Z,2022-06-11T05:03:15Z,34636,1665,204
LaurentMazare/tch-rs,2019-02-16T21:08:44Z,2022-06-12T19:28:05Z,3031,1661,145
patrikhuber/eos,2015-02-10T16:09:02Z,2022-06-12T14:15:30Z,14250,1660,563
YunYang1994/TensorFlow2.0-Examples,2019-03-07T15:17:05Z,2022-06-11T09:13:30Z,10629,1652,686
HuaizhengZhang/Awesome-System-for-Machine-Learning,2019-01-07T12:59:19Z,2022-06-10T16:21:43Z,998,1651,235
gram-ai/capsule-networks,2017-11-02T14:47:54Z,2022-06-10T06:40:27Z,797,1650,325
probcomp/Gen.jl,2018-08-21T21:42:42Z,2022-06-12T10:39:17Z,24401,1649,147
SeldonIO/alibi,2019-02-26T10:10:56Z,2022-06-11T23:09:19Z,27579,1649,191
huseinzol05/NLP-Models-Tensorflow,2018-04-23T12:04:17Z,2022-06-12T20:01:29Z,48393,1644,701
lightly-ai/lightly,2020-10-13T13:02:56Z,2022-06-11T21:30:25Z,8244,1640,128
amir-abdi/keras_to_tensorflow,2017-05-10T04:43:29Z,2022-05-14T19:06:17Z,149,1640,541
benedekrozemberczki/karateclub,2019-12-05T17:35:56Z,2022-06-10T15:32:02Z,29324,1639,204
microsoft/DialoGPT,2019-08-29T21:07:46Z,2022-06-12T04:19:05Z,46139,1639,243
rentruewang/koila,2021-11-17T08:37:36Z,2022-06-11T02:15:09Z,671,1638,56
aws/sagemaker-python-sdk,2017-11-14T01:03:33Z,2022-06-09T12:39:07Z,106616,1634,795
github/CodeSearchNet,2019-02-28T17:22:54Z,2022-06-11T11:56:08Z,30039,1632,319
UniversalDataTool/universal-data-tool,2019-07-11T18:00:15Z,2022-06-10T13:29:24Z,259422,1632,175
GPflow/GPflow,2016-01-14T11:29:24Z,2022-05-24T03:29:07Z,122289,1629,425
tensorflow/privacy,2018-12-21T18:46:46Z,2022-06-12T00:45:50Z,2695,1614,362
Franck-Dernoncourt/NeuroNER,2017-03-07T01:24:15Z,2022-06-09T15:53:59Z,126745,1614,477
RubixML/ML,2018-02-14T07:20:19Z,2022-06-12T17:41:20Z,25997,1607,125
Drakkar-Software/OctoBot,2018-02-23T23:13:05Z,2022-06-12T05:48:33Z,140335,1603,446
idealo/image-quality-assessment,2018-06-12T14:46:09Z,2022-06-10T02:51:56Z,81900,1603,394
azavea/raster-vision,2017-02-02T14:31:54Z,2022-06-12T14:49:27Z,28689,1602,333
bjoernkarmann/project_alias,2018-05-15T21:16:07Z,2022-06-12T16:21:33Z,40997,1597,101
NiuTrans/ABigSurvey,2020-07-17T05:57:36Z,2022-06-10T11:55:48Z,1812,1591,206
faridrashidi/kaggle-solutions,2018-11-25T04:27:49Z,2022-06-12T10:10:59Z,7117,1589,482
deepchecks/deepchecks,2021-10-11T14:48:38Z,2022-06-12T17:10:00Z,248383,1583,102
TuringLang/Turing.jl,2016-04-29T10:51:43Z,2022-06-04T10:14:33Z,78324,1582,191
curiousily/Getting-Things-Done-with-Pytorch,2020-01-31T08:02:53Z,2022-06-12T15:55:39Z,33893,1581,477
uber/manifold,2019-02-08T21:05:30Z,2022-06-09T11:42:23Z,7303,1579,115
lexfridman/deeptraffic,2018-01-06T01:24:42Z,2022-06-12T21:27:00Z,6208,1576,246
mlr-org/mlr,2013-08-29T16:26:13Z,2022-06-08T18:44:45Z,603617,1575,407
replicate/keepsake,2020-07-01T04:37:44Z,2022-06-11T21:12:25Z,15265,1574,65
ClimbsRocks/auto_ml,2016-08-07T21:35:08Z,2022-06-12T21:38:43Z,1444,1573,310
imgcook/imgcook,2018-12-26T02:43:07Z,2022-06-12T10:21:06Z,72,1573,97
lukas-blecher/LaTeX-OCR,2020-12-11T16:35:13Z,2022-06-12T21:27:21Z,9335,1572,203
ermig1979/Simd,2015-03-25T15:24:55Z,2022-06-10T15:55:00Z,33656,1564,347
byzer-org/byzer-lang,2016-04-28T07:06:14Z,2022-06-10T08:26:23Z,55451,1563,525
jsbroks/coco-annotator,2018-09-03T21:38:31Z,2022-06-11T15:09:01Z,1743,1563,366
sshkhr/awesome-mlss,2018-12-01T06:34:35Z,2022-06-12T07:35:43Z,259,1563,205
hanleyweng/CoreML-in-ARKit,2017-07-14T08:33:22Z,2022-06-12T05:13:13Z,25091,1562,210
keras-team/keras-contrib,2017-01-25T02:26:49Z,2022-06-12T11:38:05Z,868,1558,664
scikit-learn-contrib/lightning,2012-01-11T13:53:52Z,2022-06-10T06:15:43Z,14720,1556,209
quantumblacklabs/causalnex,2019-12-12T15:26:09Z,2022-06-12T03:40:10Z,49379,1555,178
uber-research/deep-neuroevolution,2018-01-04T01:12:25Z,2022-06-07T05:15:24Z,3801,1554,299
datawhalechina/fun-rec,2020-08-09T04:37:34Z,2022-06-12T13:53:58Z,106259,1552,464
aburkov/theMLbook,2019-01-06T06:40:03Z,2022-05-18T12:24:56Z,3462,1545,509
datawhalechina/daily-interview,2019-04-24T06:07:56Z,2022-06-11T01:46:06Z,16867,1543,337
justmarkham/DAT8,2015-08-07T03:35:51Z,2022-06-11T01:23:30Z,24092,1537,1029
instacart/lore,2017-10-19T21:51:45Z,2022-05-09T18:24:02Z,1633,1536,130
kserve/kserve,2019-03-27T21:14:14Z,2022-06-10T20:15:16Z,411186,1536,612
teddylee777/machine-learning,2018-09-02T05:55:25Z,2022-06-12T13:15:44Z,45399,1532,584
voxelmorph/voxelmorph,2018-05-14T16:19:41Z,2022-06-11T14:06:20Z,132263,1527,475
tensorflow/addons,2018-11-26T23:57:17Z,2022-06-09T11:03:57Z,6035,1524,568
kevinhughes27/TensorKart,2016-12-28T15:11:51Z,2022-06-10T18:29:29Z,58922,1523,254
plasticityai/magnitude,2018-02-24T07:28:16Z,2022-06-10T12:34:30Z,74131,1521,109
jiqizhixin/Artificial-Intelligence-Terminology-Database,2017-06-27T15:36:56Z,2022-06-10T07:35:58Z,2341,1520,303
PythonOT/POT,2016-10-20T14:42:14Z,2022-06-12T15:30:02Z,44719,1520,412
hosseinmoein/DataFrame,2017-10-28T17:25:45Z,2022-06-10T14:13:21Z,42421,1508,226
Hironsan/awesome-embedding-models,2016-12-05T04:16:20Z,2022-06-11T09:26:19Z,49,1507,239
jslee02/awesome-robotics-libraries,2016-04-16T20:44:29Z,2022-06-10T04:33:00Z,280,1505,359
justmarkham/scikit-learn-tips,2020-03-26T13:36:57Z,2022-06-12T18:23:20Z,289,1504,376
guillaume-chevalier/Awesome-Deep-Learning-Resources,2016-11-27T17:41:38Z,2022-06-10T13:55:53Z,312,1500,290
Charmve/computer-vision-in-action,2021-04-29T03:08:48Z,2022-06-11T16:48:12Z,302342,1498,228
grananqvist/Awesome-Quant-Machine-Learning-Trading,2018-11-05T21:09:06Z,2022-06-12T10:10:37Z,31,1488,420
mbadry1/Top-Deep-Learning,2018-03-16T00:57:51Z,2022-06-12T18:19:15Z,138,1487,408
4paradigm/OpenMLDB,2021-03-12T07:18:31Z,2022-06-12T07:48:56Z,95709,1482,519
pkmital/CADL,2016-07-06T22:07:55Z,2022-05-13T03:35:18Z,330445,1481,747
philipperemy/keras-tcn,2018-03-22T02:40:06Z,2022-06-10T12:10:14Z,5974,1480,407
dblalock/bolt,2017-02-01T23:11:16Z,2022-06-10T06:36:16Z,339965,1478,132
PyTorchLightning/lightning-flash,2021-01-28T18:47:16Z,2022-06-12T17:30:54Z,12735,1476,169
AsuharietYgvar/AppleNeuralHash2ONNX,2021-08-15T19:52:47Z,2022-06-10T05:02:27Z,15,1465,126
pytorch/TensorRT,2020-03-11T17:17:43Z,2022-06-12T02:30:39Z,20983,1463,188
jadianes/spark-py-notebooks,2015-05-06T07:45:21Z,2022-06-12T13:01:17Z,2312,1463,898
dustinvtran/ml-videos,2017-01-25T01:02:58Z,2022-06-11T17:31:44Z,50,1460,215
tradytics/surpriver,2020-08-30T07:56:22Z,2022-06-11T23:04:21Z,2064,1460,280
ahangchen/GDLnotes,2016-05-08T07:45:57Z,2022-05-25T06:17:52Z,10708,1456,494
VertaAI/modeldb,2016-10-19T01:07:26Z,2022-06-12T07:54:54Z,43391,1448,256
Hironsan/anago,2017-06-26T21:28:36Z,2022-06-06T06:23:36Z,7686,1448,376
PennyLaneAI/pennylane,2018-04-17T16:45:42Z,2022-06-11T21:11:17Z,60433,1446,379
metarank/metarank,2020-08-19T17:16:08Z,2022-06-11T07:34:19Z,6412,1444,48
krasserm/bayesian-machine-learning,2018-03-19T14:17:43Z,2022-06-12T05:47:46Z,28830,1444,392
SeldonIO/seldon-server,2015-02-11T13:49:35Z,2022-06-07T17:41:05Z,3685,1443,307
uber/petastorm,2018-06-15T23:15:29Z,2022-06-12T05:56:47Z,2730,1440,248
dotnet/infer,2018-09-14T23:49:02Z,2022-06-09T17:47:51Z,33773,1438,210
uTensor/uTensor,2017-09-21T17:04:59Z,2022-06-03T09:10:10Z,77576,1436,203
sthalles/SimCLR,2020-02-17T18:58:35Z,2022-06-12T09:53:25Z,84452,1436,312
githubharald/SimpleHTR,2018-06-13T13:30:25Z,2022-06-12T18:17:00Z,80929,1428,714
lovoo/NSFWDetector,2018-08-14T09:21:41Z,2022-06-12T07:11:03Z,270,1427,93
dair-ai/nlp_paper_summaries,2020-03-03T13:20:30Z,2022-06-09T02:10:43Z,1799,1420,242
adblockradio/adblockradio,2018-07-09T12:35:43Z,2022-06-09T20:33:29Z,9143,1420,55
amitkaps/hackermath,2016-05-23T14:32:02Z,2022-06-10T21:10:45Z,26070,1418,290
google/uis-rnn,2018-10-23T08:13:24Z,2022-06-08T14:13:37Z,111993,1418,313
JifuZhao/DS-Take-Home,2018-04-12T01:40:14Z,2022-06-11T15:09:50Z,8422,1414,780
alexsosn/iOS_ML,2015-08-18T08:44:46Z,2022-06-05T07:18:30Z,98,1412,161
alan-turing-institute/MLJ.jl,2018-08-01T06:29:39Z,2022-06-10T08:17:23Z,33191,1410,136
VivekPa/AIAlpha,2018-10-07T03:58:26Z,2022-06-12T21:59:05Z,13852,1408,419
nubank/fklearn,2019-02-27T14:32:57Z,2022-06-08T03:43:51Z,2186,1407,158
chaoyanghe/Awesome-Federated-Learning,2020-07-03T19:26:03Z,2022-06-12T14:41:23Z,1109,1405,263
openmlsys/openmlsys-zh,2022-01-18T08:43:46Z,2022-06-12T14:47:58Z,38392,1398,198
postgresml/postgresml,2022-04-11T05:33:26Z,2022-06-12T13:40:00Z,3489,1395,38
h2oai/h2o-tutorials,2015-08-05T20:26:22Z,2022-06-08T18:45:42Z,1105662,1395,1024
fepegar/torchio,2019-11-26T09:10:09Z,2022-06-12T18:41:28Z,45935,1394,176
MindorksOpenSource/AndroidTensorFlowMachineLearningExample,2017-03-06T04:34:38Z,2022-05-24T04:43:10Z,54395,1393,437
pytorch/tnt,2016-12-10T11:49:58Z,2022-06-05T11:33:44Z,547,1392,197
uber/orbit,2020-01-07T18:20:37Z,2022-06-12T17:21:26Z,142240,1390,101
MLReef/mlreef,2020-07-20T09:45:29Z,2022-06-08T09:29:57Z,67224,1385,322
HuwCampbell/grenade,2016-06-23T12:04:52Z,2022-06-01T10:56:05Z,335,1383,85
vearch/vearch,2019-05-13T02:37:31Z,2022-06-12T20:31:08Z,23404,1380,248
krzjoa/awesome-python-data-science,2017-12-21T10:17:53Z,2022-06-10T06:53:14Z,1415,1379,245
explosion/sense2vec,2016-01-23T22:15:49Z,2022-06-10T10:21:10Z,1184,1374,228
bfelbo/DeepMoji,2017-07-18T11:42:33Z,2022-06-05T19:53:29Z,113199,1372,313
danielhanchen/hyperlearn,2018-08-27T16:00:47Z,2022-06-12T01:31:33Z,40892,1367,114
TorchCraft/TorchCraft,2016-12-03T00:04:58Z,2022-06-12T01:31:15Z,8339,1367,213
elyra-ai/elyra,2019-10-22T21:37:58Z,2022-06-11T00:46:21Z,109743,1367,242
kelvins/awesome-mlops,2020-05-25T22:53:26Z,2022-06-12T13:18:19Z,317,1366,229
Cloud-CV/EvalAI,2016-10-21T00:51:45Z,2022-06-12T18:34:16Z,64756,1358,644
cerlymarco/MEDIUM_NoteBook,2019-04-22T20:45:20Z,2022-06-12T03:24:14Z,96250,1353,760
TianZerL/Anime4KCPP,2020-03-25T16:51:24Z,2022-06-12T14:47:55Z,7614,1351,111
basicmi/AI-Chip,2017-08-09T04:10:54Z,2022-06-12T01:31:22Z,116593,1350,251
denizyuret/Knet.jl,2015-09-29T23:42:37Z,2022-06-11T11:59:32Z,24136,1350,235
cdipaolo/goml,2015-06-27T05:52:01Z,2022-06-10T19:58:44Z,967,1350,127
prabhuomkar/pytorch-cpp,2019-11-05T16:52:01Z,2022-06-11T09:31:58Z,455,1347,189
o19s/elasticsearch-learning-to-rank,2016-12-25T03:19:01Z,2022-06-11T12:44:19Z,1841,1344,336
whylabs/whylogs,2020-08-14T23:25:32Z,2022-06-12T13:02:33Z,42980,1343,62
graph4ai/graph4nlp,2020-07-16T03:28:48Z,2022-06-12T08:29:14Z,489139,1341,167
igrigorik/decisiontree,2009-02-23T04:52:20Z,2022-06-10T06:15:42Z,56,1339,134
BilalReffas/EmojiIntelligence,2017-04-10T03:44:45Z,2022-06-12T10:02:43Z,420,1338,88
edyoda/data-science-complete-tutorial,2018-09-15T06:37:32Z,2022-06-12T18:21:51Z,57533,1338,612
vahidk/EffectivePyTorch,2020-04-02T07:21:57Z,2022-06-11T16:45:58Z,49,1337,146
voxel51/fiftyone,2020-04-22T13:43:28Z,2022-06-12T11:24:56Z,702516,1336,177
demidovakatya/vvedenie-mashinnoe-obuchenie,2016-01-28T23:10:50Z,2022-06-06T11:01:21Z,2315,1336,330
firmai/machine-learning-asset-management,2019-07-11T11:16:56Z,2022-06-12T16:36:28Z,122,1331,406
xinshuoweng/AB3DMOT,2019-06-19T23:48:25Z,2022-06-10T12:55:10Z,204110,1329,348
modelfoxdotdev/modelfox,2021-04-23T19:25:24Z,2022-06-11T13:49:01Z,28649,1325,56
AxeldeRomblay/MLBox,2017-06-01T16:59:24Z,2022-06-10T18:38:57Z,52434,1323,268
datamade/usaddress,2014-07-17T19:22:46Z,2022-06-12T00:45:38Z,7025,1322,267
PyTorchLightning/lightning-bolts,2020-03-25T16:03:30Z,2022-06-10T13:24:52Z,4759,1319,263
timoschick/pet,2020-04-07T08:13:51Z,2022-06-09T23:34:34Z,183,1319,239
DLTK/DLTK,2017-05-02T15:40:36Z,2022-06-07T01:41:47Z,19507,1309,396
rednaga/APKiD,2016-06-23T18:00:21Z,2022-06-10T21:10:45Z,10192,1304,250
404notf0und/AI-for-Security-Learning,2018-11-02T03:43:53Z,2022-06-11T11:30:21Z,130,1294,287
fendouai/Awesome-TensorFlow-Chinese,2017-09-01T08:07:50Z,2022-06-12T01:31:23Z,34,1293,333
fairlearn/fairlearn,2018-05-15T01:51:35Z,2022-06-11T01:39:14Z,77651,1288,308
microsoft/EdgeML,2017-08-02T11:27:52Z,2022-06-10T04:16:21Z,82289,1282,341
johannfaouzi/pyts,2017-07-31T09:23:16Z,2022-06-10T16:37:34Z,7807,1278,138
leehomyc/Faster-High-Res-Neural-Inpainting,2017-01-26T21:18:49Z,2022-06-08T14:33:15Z,38020,1274,218
trekhleb/machine-learning-experiments,2019-11-14T06:50:29Z,2022-06-12T01:31:46Z,799947,1273,225
torchgan/torchgan,2018-09-20T16:41:00Z,2022-06-11T11:59:57Z,24010,1272,156
MarcSkovMadsen/awesome-streamlit,2019-10-06T02:07:49Z,2022-06-10T15:14:32Z,120446,1271,272
dmotz/thing-translator,2016-11-14T20:03:10Z,2022-05-30T12:03:26Z,4200,1271,227
chandrikadeb7/Face-Mask-Detection,2020-04-21T11:04:56Z,2022-06-12T14:54:54Z,191247,1270,723
ebhy/budgetml,2020-12-27T14:24:57Z,2022-06-08T13:38:57Z,1333,1270,56
Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,2018-07-25T07:44:38Z,2022-06-12T17:59:13Z,2717,1269,376
kingfengji/gcForest,2017-06-01T06:23:57Z,2022-06-01T10:54:14Z,119,1267,435
mrdbourke/zero-to-mastery-ml,2019-09-23T04:56:51Z,2022-06-12T21:15:35Z,210473,1264,2070
reiinakano/xcessiv,2017-03-07T18:18:25Z,2022-05-30T18:32:45Z,9467,1261,111
hollance/Forge,2017-04-23T19:25:05Z,2022-05-30T23:52:07Z,191355,1261,180
ranahanocka/MeshCNN,2019-05-06T22:48:52Z,2022-06-09T10:15:35Z,3645,1254,257
sepandhaghighi/pycm,2018-01-22T19:46:54Z,2022-06-11T02:47:46Z,8541,1250,107
stanfordmlgroup/ngboost,2018-06-21T22:22:40Z,2022-06-12T06:49:23Z,12706,1249,186
tensorflow/model-optimization,2018-10-31T20:34:28Z,2022-06-12T12:27:50Z,2058,1248,282
BloodAxe/pytorch-toolbelt,2019-03-15T16:02:49Z,2022-06-12T03:23:30Z,2720,1248,100
DragonComputer/Dragonfire,2016-04-19T23:28:07Z,2022-06-09T18:48:44Z,25246,1246,197
tensorly/tensorly,2016-10-21T23:14:52Z,2022-06-09T21:44:44Z,2948,1245,247
scikit-learn-contrib/metric-learn,2013-11-02T08:29:47Z,2022-06-11T15:32:17Z,11926,1243,229
advboxes/AdvBox,2018-08-08T08:55:41Z,2022-06-12T01:31:32Z,104092,1238,249
yangyanli/PointCNN,2017-08-22T22:45:32Z,2022-06-10T06:49:59Z,343,1236,348
gnes-ai/gnes,2019-07-08T08:31:09Z,2022-06-06T13:47:07Z,54521,1233,215
metrofun/machine-learning-surveys,2017-05-24T19:30:06Z,2022-06-10T21:10:49Z,65,1224,199
FluxML/Zygote.jl,2018-08-06T22:08:26Z,2022-06-11T18:14:09Z,3546,1223,172
hi-primus/optimus,2017-07-13T02:31:18Z,2022-06-09T10:19:52Z,115135,1223,219
abdulfatir/twitter-sentiment-analysis,2017-10-08T21:07:18Z,2022-06-08T12:10:23Z,2442,1222,535
google-research/language,2018-10-16T00:58:14Z,2022-06-11T09:13:04Z,5261,1220,289
FedML-AI/FedML,2020-07-21T22:41:25Z,2022-06-12T13:52:18Z,685363,1215,366
ben1234560/AiLearning-Theory-Applying,2020-10-25T02:25:05Z,2022-06-11T11:20:15Z,92567,1215,213
robertmartin8/MachineLearningStocks,2017-02-12T04:50:44Z,2022-06-11T21:12:38Z,7544,1215,430
aws-samples/aws-machine-learning-university-accelerated-cv,2020-07-29T22:17:04Z,2022-06-12T16:40:45Z,187311,1213,277
AgaMiko/data-augmentation-review,2019-09-28T19:46:30Z,2022-06-12T13:37:28Z,3637,1212,171
argosopentech/argos-translate,2020-04-07T16:22:23Z,2022-06-12T18:11:16Z,3375,1210,88
Xtremilicious/projectlearn-project-based-learning,2019-12-01T13:20:52Z,2022-06-11T16:55:54Z,13789,1206,123
scverse/scanpy,2017-01-29T11:31:11Z,2022-06-12T00:59:32Z,38064,1205,429
huoyijie/AdvancedEAST,2018-05-14T01:37:52Z,2022-06-08T01:47:42Z,3293,1201,383
IntelLabs/control-flag,2021-08-04T05:48:07Z,2022-06-09T08:21:15Z,2094,1199,106
nebuly-ai/nebullvm,2022-02-12T17:17:14Z,2022-06-11T21:09:54Z,541,1195,55
alkaline-ml/pmdarima,2017-03-30T14:58:30Z,2022-06-12T07:15:37Z,77006,1194,208
AtheMathmo/rusty-machine,2015-11-14T05:55:27Z,2022-06-04T09:45:54Z,12405,1194,148
ArztSamuel/Applying_EANNs,2017-04-09T10:24:29Z,2022-06-11T14:05:30Z,20660,1190,316
jfkirk/tensorrec,2017-02-28T18:51:11Z,2022-06-07T01:33:43Z,640,1189,224
lihanghang/NLP-Knowledge-Graph,2019-01-29T12:15:57Z,2022-06-10T14:57:13Z,530305,1186,323
jrieke/traingenerator,2020-12-03T16:47:16Z,2022-06-12T15:03:29Z,10368,1182,167
yassouali/awesome-semi-supervised-learning,2020-04-08T00:43:22Z,2022-06-12T18:20:56Z,229,1179,171
fukuball/jieba-php,2015-04-23T08:29:45Z,2022-06-09T05:11:40Z,40223,1176,245
alan-ai/alan-sdk-web,2019-10-23T12:17:16Z,2022-06-12T14:33:44Z,10545,1168,51
HyperGAN/HyperGAN,2016-06-24T22:49:56Z,2022-06-08T01:50:25Z,38992,1164,171
luwill/Machine_Learning_Code_Implementation,2019-02-13T06:40:54Z,2022-06-11T15:22:43Z,3183,1164,506
linjinjin123/awesome-AIOps,2018-07-27T07:04:52Z,2022-06-10T18:31:28Z,60,1164,324
nlpodyssey/spago,2020-01-05T20:39:29Z,2022-06-12T08:19:53Z,19869,1159,62
nok/sklearn-porter,2016-06-22T22:21:34Z,2022-06-11T15:48:48Z,3050,1159,163
pytorch/opacus,2019-12-07T01:58:09Z,2022-06-12T05:08:26Z,6425,1157,207
liuyubobobo/Play-with-Machine-Learning-Algorithms,2017-10-17T23:13:24Z,2022-06-12T09:07:21Z,75510,1157,593
rbhatia46/Data-Science-Interview-Resources,2018-11-22T19:48:36Z,2022-06-12T11:49:44Z,101,1157,330
icoxfog417/awesome-text-summarization,2017-10-04T01:01:43Z,2022-06-07T16:08:06Z,631,1150,203
trevorstephens/gplearn,2015-03-26T01:01:14Z,2022-06-10T05:18:43Z,7989,1147,200
benedekrozemberczki/CapsGNN,2019-01-29T18:57:25Z,2022-06-11T12:05:19Z,4939,1146,195
iamtodor/data-science-interview-questions-and-answers,2017-12-06T18:32:29Z,2022-06-11T23:20:57Z,1798,1143,283
Hyperparticle/one-pixel-attack-keras,2018-02-17T07:26:48Z,2022-06-09T10:58:28Z,45645,1142,190
salesforce/WikiSQL,2017-08-11T23:27:06Z,2022-06-12T15:02:20Z,52177,1141,288
salu133445/musegan,2017-09-13T03:52:31Z,2022-06-11T04:53:56Z,75263,1138,282
babylonhealth/fastText_multilingual,2017-04-21T12:15:09Z,2022-06-10T21:57:32Z,147480,1133,125
recognai/rubrix,2021-04-28T14:37:42Z,2022-06-12T20:01:01Z,437065,1126,93
lensacom/sparkit-learn,2014-10-15T14:01:10Z,2022-05-23T12:24:53Z,455,1123,249
explosion/spacy-transformers,2019-07-26T19:12:34Z,2022-06-03T21:54:02Z,1121,1122,143
ahmetozlu/tensorflow_object_counting_api,2018-06-28T19:53:18Z,2022-06-12T05:24:01Z,341899,1122,509
tatsuyah/vehicle-detection,2017-10-27T00:34:41Z,2022-06-04T04:39:54Z,63021,1117,174
x4nth055/pythoncode-tutorials,2019-07-29T12:35:40Z,2022-06-12T14:57:54Z,300086,1115,1308
GokuMohandas/MLOps,2020-11-12T03:05:00Z,2022-06-11T22:16:32Z,7319,1113,202
explosion/spacy-models,2017-03-14T11:15:20Z,2022-06-09T09:30:44Z,5138,1105,258
firmai/awesome-google-colab,2019-11-11T23:53:59Z,2022-06-11T23:08:30Z,1666,1105,231
mossr/BeautifulAlgorithms.jl,2020-09-15T19:58:22Z,2022-06-11T02:38:36Z,20808,1104,68
harvitronix/five-video-classification-methods,2017-03-15T06:17:59Z,2022-06-08T06:55:01Z,321,1103,471
amusi/TensorFlow-From-Zero-To-One,2018-03-29T15:09:03Z,2022-06-12T12:16:07Z,782,1102,333
