repository,created_at,updated_at,size,num_stars,num_forks
kmario23/deep-learning-drizzle,2018-11-26T01:17:36Z,2022-06-11T01:15:12Z,452,10131,2598
zalandoresearch/fashion-mnist,2017-08-25T12:05:15Z,2022-06-12T17:33:00Z,108395,10069,2613
MorvanZhou/tutorials,2016-05-29T13:29:44Z,2022-06-12T03:02:56Z,62652,10020,5625
esimov/caire,2018-01-08T19:23:04Z,2022-06-11T06:16:21Z,79046,9899,364
iterative/dvc,2017-03-04T08:16:33Z,2022-06-12T19:25:26Z,15636,9829,940
tflearn/tflearn,2016-03-31T12:05:53Z,2022-06-12T11:34:46Z,1589,9579,2429
jindongwang/transferlearning,2017-04-30T11:32:21Z,2022-06-12T14:24:55Z,36730,9527,3284
extreme-assistant/CVPR2022-Paper-Code-Interpretation,2019-02-26T07:53:48Z,2022-06-12T15:44:12Z,1209,9475,2095
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2022-06-12T19:23:38Z,138310,9359,909
deepmind/sonnet,2017-04-03T11:34:35Z,2022-06-12T15:01:23Z,16789,9310,1329
lexfridman/mit-deep-learning,2017-01-08T00:52:01Z,2022-06-11T01:15:25Z,65478,9112,2064
ydataai/pandas-profiling,2016-01-09T23:47:55Z,2022-06-12T21:36:02Z,172975,9080,1319
bbfamily/abu,2016-09-19T15:31:53Z,2022-06-12T14:34:44Z,98941,9058,3225
Hvass-Labs/TensorFlow-Tutorials,2016-06-26T14:43:21Z,2022-06-12T17:04:33Z,67974,9019,4243
rushter/MLAlgorithms,2016-10-05T06:46:45Z,2022-06-12T06:55:59Z,11924,8912,1572
ultralytics/yolov3,2018-08-26T08:57:20Z,2022-06-12T16:52:37Z,9557,8749,3231
microsoft/qlib,2020-08-14T06:46:00Z,2022-06-12T16:45:45Z,15692,8695,1551
vahidk/EffectiveTensorflow,2017-08-01T06:00:56Z,2022-06-11T18:46:08Z,151,8682,950
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,2022-06-12T20:51:00Z,9,8671,2782
amusi/CVPR2022-Papers-with-Code,2020-02-26T06:04:25Z,2022-06-12T18:35:11Z,435,8635,1763
GetStream/Winds,2016-09-19T17:02:13Z,2022-06-12T22:11:37Z,61501,8618,613
EpistasisLab/tpot,2015-11-03T21:08:40Z,2022-06-12T18:29:49Z,79027,8600,1479
keras-team/autokeras,2017-11-19T23:18:20Z,2022-06-12T19:22:37Z,44854,8531,1372
fastai/numerical-linear-algebra,2017-05-16T17:28:12Z,2022-06-12T08:56:26Z,64028,8514,2260
tensorflow/tfjs-core,2017-08-02T14:45:47Z,2022-06-09T03:45:43Z,380006,8508,983
microsoft/computervision-recipes,2019-02-11T16:23:51Z,2022-06-12T17:30:28Z,264733,8504,1057
facebookarchive/caffe2,2015-06-25T18:23:47Z,2022-06-12T00:02:03Z,402959,8408,2019
ludwig-ai/ludwig,2018-12-27T23:58:12Z,2022-06-12T13:08:59Z,25822,8369,988
Yorko/mlcourse.ai,2017-02-27T08:32:20Z,2022-06-12T19:11:26Z,398527,8227,5441
clips/pattern,2011-05-03T15:29:01Z,2022-06-10T02:30:37Z,52330,8226,1585
apache/tvm,2016-10-12T22:20:28Z,2022-06-12T07:24:02Z,66519,8194,2558
visenger/awesome-mlops,2020-03-03T11:37:19Z,2022-06-12T17:30:10Z,950,8049,1265
timzhang642/3D-Machine-Learning,2017-08-12T15:20:54Z,2022-06-12T01:16:58Z,24852,8015,1650
dotnet/machinelearning,2018-05-03T16:20:42Z,2022-06-10T15:34:12Z,71485,7979,1752
VowpalWabbit/vowpal_wabbit,2009-07-31T19:36:58Z,2022-06-11T02:20:09Z,145375,7973,1806
Mikoto10032/DeepLearning,2018-04-09T15:53:37Z,2022-06-12T15:27:23Z,958284,7820,2408
cortexlabs/cortex,2019-01-24T04:43:14Z,2022-06-12T19:06:52Z,11895,7753,591
mindsdb/mindsdb,2018-08-02T17:56:45Z,2022-06-12T22:01:37Z,168279,7582,761
apachecn/Interview,2017-10-13T09:57:07Z,2022-06-12T07:17:26Z,48356,7539,2127
deepmind/pysc2,2017-07-25T18:16:57Z,2022-06-12T00:36:08Z,4486,7526,1140
pyro-ppl/pyro,2017-06-16T05:03:47Z,2022-06-12T17:22:38Z,78749,7473,918
gradio-app/gradio,2018-12-19T08:24:04Z,2022-06-12T20:08:43Z,155773,7399,467
MorvanZhou/Reinforcement-learning-with-tensorflow,2017-05-06T03:01:31Z,2022-06-12T10:39:10Z,437,7371,4743
lanpa/tensorboardX,2017-06-13T13:54:19Z,2022-06-12T01:31:21Z,5733,7351,867
kedro-org/kedro,2019-04-18T10:29:56Z,2022-06-12T06:54:44Z,110074,7282,669
NVlabs/instant-ngp,2022-01-05T17:11:30Z,2022-06-12T20:26:28Z,173033,7241,711
deeplearning-ai/machine-learning-yearning-cn,2018-06-19T19:26:39Z,2022-06-12T17:22:31Z,15346,7186,1479
vaexio/vaex,2014-09-27T09:44:42Z,2022-06-12T21:10:12Z,143365,7113,549
OlafenwaMoses/ImageAI,2018-03-19T23:12:33Z,2022-06-12T03:52:02Z,62255,7061,1951
jackzhenguo/python-small-examples,2019-11-17T01:47:01Z,2022-06-12T15:18:46Z,6270,7018,1645
aws/amazon-sagemaker-examples,2017-10-23T05:55:22Z,2022-06-11T22:43:27Z,491401,6993,5272
microsoft/onnxruntime,2018-11-10T02:22:53Z,2022-06-12T21:56:20Z,798572,6980,1622
google/trax,2019-10-05T15:09:14Z,2022-06-12T21:09:45Z,169289,6938,719
datawhalechina/leeml-notes,2019-07-02T01:05:11Z,2022-06-12T15:38:55Z,254147,6916,2192
microsoft/DeepSpeed,2020-01-23T18:35:18Z,2022-06-12T18:14:08Z,23678,6872,806
PAIR-code/facets,2017-07-07T14:03:03Z,2022-06-12T13:58:09Z,23265,6864,877
isl-org/Open3D,2016-12-02T16:40:38Z,2022-06-12T15:57:24Z,596604,6860,1674
wiseodd/generative-models,2016-12-07T11:28:16Z,2022-06-12T02:21:34Z,114,6856,2028
instillai/machine-learning-course,2019-02-15T00:23:19Z,2022-06-12T04:55:53Z,14145,6843,1266
guess-js/guess,2018-04-02T01:58:19Z,2022-06-12T20:11:24Z,14131,6816,201
MorvanZhou/PyTorch-Tutorial,2017-05-05T15:12:04Z,2022-06-11T17:40:00Z,15391,6813,3021
owainlewis/awesome-artificial-intelligence,2015-01-27T09:27:48Z,2022-06-11T10:48:52Z,212,6798,1449
lazyprogrammer/machine_learning_examples,2014-07-31T23:40:45Z,2022-06-12T20:17:45Z,22529,6796,5684
dair-ai/ML-YouTube-Courses,2021-06-25T09:39:16Z,2022-06-12T15:14:17Z,50,6789,816
alibaba/MNN,2019-04-15T07:40:18Z,2022-06-12T20:50:59Z,169252,6736,1375
dair-ai/ml-visuals,2020-05-17T13:42:29Z,2022-06-12T13:34:29Z,172,6718,855
deepmind/lab,2016-11-30T13:41:26Z,2022-06-08T06:24:04Z,460019,6699,1363
kornia/kornia,2018-08-22T10:31:37Z,2022-06-12T20:26:26Z,54216,6655,668
catboost/catboost,2017-07-18T05:29:04Z,2022-06-12T14:30:43Z,1011857,6567,1018
Angel-ML/angel,2017-04-25T05:57:43Z,2022-06-12T01:30:54Z,93245,6536,1607
rasbt/python-machine-learning-book-2nd-edition,2017-02-09T05:45:15Z,2022-06-12T15:41:45Z,241207,6522,2758
optuna/optuna,2018-02-21T06:12:56Z,2022-06-12T19:43:59Z,15424,6517,707
nmap/nmap,2012-03-09T14:47:43Z,2022-06-12T17:49:06Z,95874,6380,1916
NirantK/awesome-project-ideas,2017-08-19T09:37:58Z,2022-06-12T20:47:46Z,83,6346,1160
doccano/doccano,2018-05-09T06:10:05Z,2022-06-12T10:49:37Z,54083,6316,1330
Jack-Cherish/Machine-Learning,2017-03-25T07:32:37Z,2022-06-12T14:46:55Z,1132,6277,4538
SerpentAI/SerpentAI,2017-04-16T21:48:39Z,2022-06-10T14:36:34Z,3859,6264,738
firmai/industry-machine-learning,2019-05-03T05:08:15Z,2022-06-11T23:08:47Z,3128,6237,1035
dragen1860/TensorFlow-2.x-Tutorials,2019-01-30T03:00:09Z,2022-06-12T16:44:46Z,166873,6216,2211
tensorpack/tensorpack,2015-12-25T23:08:44Z,2022-06-12T17:11:43Z,9066,6212,1832
alteryx/featuretools,2017-09-08T22:15:17Z,2022-06-12T21:49:34Z,6761,6211,819
stanfordnlp/stanza,2017-09-26T08:00:56Z,2022-06-10T22:43:55Z,7812,6151,801
liuruoze/EasyPR,2014-09-19T11:46:04Z,2022-06-09T12:45:42Z,195032,6127,2517
Hironsan/BossSensor,2016-07-04T06:09:59Z,2022-06-10T04:22:47Z,29659,6097,1106
tensorflow/swift,2018-04-24T19:18:14Z,2022-06-12T15:02:19Z,3627,6057,614
poloclub/cnn-explainer,2019-11-03T23:15:24Z,2022-06-12T21:33:40Z,90164,6056,966
nfmcclure/tensorflow_cookbook,2016-06-10T13:23:57Z,2022-06-12T17:04:46Z,19789,6025,2467
thtrieu/darkflow,2016-08-16T05:54:02Z,2022-06-08T13:28:25Z,33768,5984,2108
yzhao062/anomaly-detection-resources,2018-05-16T20:02:54Z,2022-06-12T14:41:07Z,222,5983,1471
microsoft/nlp-recipes,2019-04-05T17:42:41Z,2022-06-11T07:43:19Z,48727,5928,861
scikit-learn-contrib/imbalanced-learn,2014-08-16T05:08:26Z,2022-06-12T20:30:50Z,22017,5921,1191
rushter/data-science-blogs,2015-08-05T11:58:14Z,2022-06-12T06:00:02Z,348,5894,1744
Swift-AI/Swift-AI,2015-11-19T23:43:18Z,2022-06-12T22:00:15Z,30117,5875,560
h2oai/h2o-3,2014-03-03T16:08:07Z,2022-06-12T15:48:40Z,599256,5848,1920
drivendata/cookiecutter-data-science,2015-10-30T19:19:57Z,2022-06-12T21:49:35Z,718,5836,1873
stefan-jansen/machine-learning-for-trading,2018-05-09T12:33:08Z,2022-06-12T13:59:13Z,686305,5813,2298
iperov/DeepFaceLive,2020-12-15T12:19:22Z,2022-06-12T21:45:04Z,670920,5812,812
pycaret/pycaret,2019-11-23T18:40:48Z,2022-06-12T16:15:49Z,168341,5795,1336
gorse-io/gorse,2018-08-14T11:01:09Z,2022-06-12T11:00:46Z,10964,5791,494
deepmipt/DeepPavlov,2017-11-17T14:35:29Z,2022-06-12T21:56:29Z,39886,5764,1035
yzhao062/pyod,2017-10-03T20:29:04Z,2022-06-11T17:56:11Z,36621,5738,1118
PeterL1n/RobustVideoMatting,2021-08-30T20:57:44Z,2022-06-12T16:20:53Z,9297,5711,716
PeterL1n/BackgroundMattingV2,2020-12-01T00:26:17Z,2022-06-12T16:29:30Z,2862,5710,816
chainer/chainer,2015-06-05T05:50:37Z,2022-06-08T23:31:30Z,53738,5692,1386
infinitered/nsfwjs,2019-02-13T15:06:31Z,2022-06-12T12:56:29Z,63239,5691,404
Netflix/metaflow,2019-09-17T17:48:25Z,2022-06-12T17:42:31Z,5630,5690,519
